"quad","year","totCover","group"
"Q2",37,403.798492103824,"E1"
"Q2",39,416.753255998561,"E1"
"Q2",50,207.858111372375,"E1"
"Q20",38,1464.30765669436,"P7E1"
"Q20",27,224.238861182945,"P7E1"
"Q20",33,1269.53929317814,"P7E1"
"Q20",41,2343.07576772769,"P7E1"
"Q20",23,58.0187408612106,"P7E1"
"Q20",45,1807.27294892864,"P7E1"
"Q20",47,477.789015964354,"P7E1"
"Q20",51,96.4371083915847,"P7E1"
"Q20",35,1753.83896914067,"P7E1"
"Q20",40,1770.61706808683,"P7E1"
"Q20",34,1064.39467201052,"P7E1"
"Q20",42,1711.70708470198,"P7E1"
"Q20",37,1677.03271153321,"P7E1"
"Q20",30,541.74906723777,"P7E1"
"Q20",31,683.799912690191,"P7E1"
"Q20",29,369.204796032334,"P7E1"
"Q20",50,256.848706896138,"P7E1"
"Q20",32,943.161552497156,"P7E1"
"Q20",54,89.438818009705,"P7E1"
"Q20",56,68.235223981458,"P7E1"
"Q20",26,44.3887797122469,"P7E1"
"Q20",55,97.809999812138,"P7E1"
"Q20",36,1516.13566333403,"P7E1"
"Q20",49,213.701687957053,"P7E1"
"Q20",46,1102.85216212593,"P7E1"
"Q20",52,56.4820219847048,"P7E1"
"Q20",39,1665.70970164264,"P7E1"
"Q21",33,1077.17197834266,"P7E1"
"Q21",46,1807.27879947211,"P7E1"
"Q21",34,818.229768022451,"P7E1"
"Q21",40,1709.69644790276,"P7E1"
"Q21",41,1871.55776784844,"P7E1"
"Q21",49,266.639385060158,"P7E1"
"Q21",47,302.662369893913,"P7E1"
"Q21",39,1676.09515974128,"P7E1"
"Q21",55,125.597195513471,"P7E1"
"Q21",54,158.841895025347,"P7E1"
"Q21",42,1602.34345991316,"P7E1"
"Q21",38,1668.18756776287,"P7E1"
"Q21",51,85.1804552862193,"P7E1"
"Q21",31,559.366561598551,"P7E1"
"Q21",45,2341.37367194367,"P7E1"
"Q21",32,713.831930952544,"P7E1"
"Q21",52,155.611553716688,"P7E1"
"Q21",36,1014.7801321862,"P7E1"
"Q21",37,1374.34793773372,"P7E1"
"Q21",56,43.4311490038549,"P7E1"
"Q21",35,1253.08436152916,"P7E1"
"Q21",30,455.522533336376,"P7E1"
"Q21",50,107.158488978453,"P7E1"
"Q22",32,1911.16491289666,"P7E1"
"Q22",46,2350.66858963763,"P7E1"
"Q22",42,1541.74656850041,"P7E1"
"Q22",54,2051.5245840901,"P7E1"
"Q22",33,2139.32466158611,"P7E1"
"Q22",45,2690.0911662982,"P7E1"
"Q22",52,1995.18754692087,"P7E1"
"Q22",51,1788.81516594299,"P7E1"
"Q22",36,1910.48436641545,"P7E1"
"Q22",47,2712.44693415998,"P7E1"
"Q22",38,2081.5066905196,"P7E1"
"Q22",35,2271.60502534432,"P7E1"
"Q22",41,2471.24510606022,"P7E1"
"Q22",49,1951.68856007715,"P7E1"
"Q22",30,1297.75508150087,"P7E1"
"Q22",40,2420.60848162075,"P7E1"
"Q22",56,1690.87211845729,"P7E1"
"Q22",34,1862.69204180306,"P7E1"
"Q22",50,2137.25854326439,"P7E1"
"Q22",39,2239.66590881377,"P7E1"
"Q22",37,2579.5994626889,"P7E1"
"Q22",55,2010.32954841944,"P7E1"
"Q22",31,1146.11740339264,"P7E1"
"Q23",49,781.513290478954,"P10E1"
"Q23",56,539.720034124674,"P10E1"
"Q23",47,702.413928575355,"P10E1"
"Q23",33,565.136565317575,"P10E1"
"Q23",54,1002.02544496904,"P10E1"
"Q23",51,1054.42012126532,"P10E1"
"Q23",40,709.383638239305,"P10E1"
"Q23",32,557.270405952919,"P10E1"
"Q23",39,529.692764172371,"P10E1"
"Q23",42,995.864569049722,"P10E1"
"Q23",45,1404.04609125478,"P10E1"
"Q23",52,1130.9441974848,"P10E1"
"Q23",38,562.31214192452,"P10E1"
"Q23",36,425.915794556914,"P10E1"
"Q23",46,932.21350452546,"P10E1"
"Q23",50,960.931624665313,"P10E1"
"Q23",34,292.697643142226,"P10E1"
"Q23",55,706.753384230884,"P10E1"
"Q23",41,804.475657066894,"P10E1"
"Q23",37,468.194361845524,"P10E1"
"Q23",35,387.030437537039,"P10E1"
"Q24",49,190.255955612523,"P10E1"
"Q24",40,92.7383966279796,"P10E1"
"Q24",47,179.501475021171,"P10E1"
"Q24",56,114.652934211287,"P10E1"
"Q24",32,108.179646539616,"P10E1"
"Q24",54,288.836555567676,"P10E1"
"Q24",45,383.414070305601,"P10E1"
"Q24",42,107.144794807121,"P10E1"
"Q24",50,319.366793346582,"P10E1"
"Q24",41,183.13560014763,"P10E1"
"Q24",36,51.4104327127305,"P10E1"
"Q24",51,237.182342952615,"P10E1"
"Q24",46,422.996722854652,"P10E1"
"Q24",38,120.700469473815,"P10E1"
"Q24",52,254.796460249671,"P10E1"
"Q24",39,79.8700811861253,"P10E1"
"Q24",37,81.5605488615412,"P10E1"
"Q24",35,143.625779845818,"P10E1"
"Q24",34,73.3271914812207,"P10E1"
"Q24",55,328.506146358918,"P10E1"
"Q24",33,141.263844932346,"P10E1"
"Q25",32,935.422291287954,"P10E1"
"Q25",56,263.894201232942,"P10E1"
"Q25",47,224.951291371605,"P10E1"
"Q25",45,856.269532514994,"P10E1"
"Q25",50,745.495898697115,"P10E1"
"Q25",46,338.422770094891,"P10E1"
"Q25",38,833.420739441682,"P10E1"
"Q25",40,516.455404247104,"P10E1"
"Q25",39,795.500944484388,"P10E1"
"Q25",36,673.688563797889,"P10E1"
"Q25",33,935.038309846144,"P10E1"
"Q25",41,711.514505478591,"P10E1"
"Q25",51,684.717183624182,"P10E1"
"Q25",49,453.18779674753,"P10E1"
"Q25",42,359.923739376084,"P10E1"
"Q25",37,916.427642741423,"P10E1"
"Q25",52,879.631515670582,"P10E1"
"Q25",34,756.944376713044,"P10E1"
"Q25",35,663.268914466211,"P10E1"
"Q25",54,630.618795084108,"P10E1"
"Q25",55,817.275555400287,"P10E1"
"Q26",47,1944.29481384441,"P10E1"
"Q26",56,2484.92461876303,"P10E1"
"Q26",32,1429.59956418184,"P10E1"
"Q26",39,1124.99202108853,"P10E1"
"Q26",45,2441.52131069061,"P10E1"
"Q26",51,1641.80587481901,"P10E1"
"Q26",36,776.593673878418,"P10E1"
"Q26",46,2269.52547759492,"P10E1"
"Q26",41,1590.28340350587,"P10E1"
"Q26",50,1685.51340109855,"P10E1"
"Q26",49,1396.25132918133,"P10E1"
"Q26",42,1028.96775344782,"P10E1"
"Q26",38,984.207780888664,"P10E1"
"Q26",40,1304.5059607493,"P10E1"
"Q26",54,2546.2151784583,"P10E1"
"Q26",52,2068.42165622399,"P10E1"
"Q26",37,689.367514377679,"P10E1"
"Q26",33,867.463756954942,"P10E1"
"Q26",34,426.594439669279,"P10E1"
"Q26",35,642.010962341016,"P10E1"
"Q26",55,2629.39310858169,"P10E1"
"Q3",39,926.518509831638,"E1"
"Q3",32,1033.32036831115,"E1"
"Q3",50,494.283974790766,"E1"
"Q3",52,770.269701312156,"E1"
"Q3",49,568.945008464701,"E1"
"Q3",40,1080.82081671919,"E1"
"Q3",56,802.368627058483,"E1"
"Q3",51,446.476877443591,"E1"
"Q3",36,754.346162907237,"E1"
"Q3",33,990.250545390241,"E1"
"Q3",47,989.277701494159,"E1"
"Q3",35,824.29078032853,"E1"
"Q3",55,906.385547260755,"E1"
"Q3",37,906.347646488712,"E1"
"Q3",41,1309.74037837729,"E1"
"Q3",38,990.867901090501,"E1"
"Q3",54,762.881643436866,"E1"
"Q3",46,1019.96506755245,"E1"
"Q3",34,616.475461645985,"E1"
"Q3",45,1500.08791988308,"E1"
"Q3",42,1093.88793680614,"E1"
"Q4",50,25.9015238947315,"E1"
"Q4",47,1.92088691850473,"E1"
"Q4",56,191.487870112972,"E1"
"Q4",41,27.8903165959779,"E1"
"Q4",35,317.198029456208,"E1"
"Q4",33,288.744622613218,"E1"
"Q4",37,190.836168414355,"E1"
"Q4",32,285.635495561096,"E1"
"Q4",38,109.597823411058,"E1"
"Q4",54,119.03140652923,"E1"
"Q4",40,38.5855449913736,"E1"
"Q4",46,2.90007372539896,"E1"
"Q4",49,36.5470450359808,"E1"
"Q4",45,23.7105185080307,"E1"
"Q4",51,24.4973845436816,"E1"
"Q4",52,32.8220838566372,"E1"
"Q4",39,37.8447263577014,"E1"
"Q4",34,199.679505410403,"E1"
"Q4",55,227.965012559416,"E1"
"Q4",36,145.44394650609,"E1"
"Q4",42,22.5541608035283,"E1"
"Q5",41,554.897054545434,"E1"
"Q5",54,206.386724088992,"E1"
"Q5",47,956.047065326698,"E1"
"Q5",56,204.583708568095,"E1"
"Q5",46,985.872415417946,"E1"
"Q5",33,881.645454899208,"E1"
"Q5",45,1222.62214459538,"E1"
"Q5",50,441.221392444438,"E1"
"Q5",52,186.905201644484,"E1"
"Q5",49,316.50995764197,"E1"
"Q5",35,725.946535438204,"E1"
"Q5",51,113.18432598217,"E1"
"Q5",32,600.989572335483,"E1"
"Q5",39,489.314202025358,"E1"
"Q5",37,473.793554521314,"E1"
"Q5",55,218.314866160862,"E1"
"Q5",40,500.249703867681,"E1"
"Q5",34,509.944811088264,"E1"
"Q5",38,364.398312163429,"E1"
